tier,domain,variable,mimic_definition,mimic_source,eicu_table,eicu_field,eicu_selector,units_mimic,units_eicu,unit_transformation,eicu_time_field,window_aggregation,mimic_preprocessing,measured_window_availability_pct,expected_eicu_issue,harmonization_decision,must_verify_before_extraction
A,Renal/metabolic,bun,"Blood urea nitrogen, chemistry panel",labevents 51006/52647,lab,labresult,lab.labname = 'BUN',mg/dL,mg/dL,none (verify labmeasurenamesystem),labresultoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,27.2 (MIMIC 32.6),Some sites also report these on a blood-gas panel with a different labname.,"Chemistry labname only, matching MIMIC's chemistry itemids. Blood-gas electrolytes excluded (Paper 1 excluded blood gas entirely).",List all labnames containing the analyte string; confirm nothing else should be unioned in.
A,Renal/metabolic,sodium,"Serum sodium, chemistry panel",labevents 50983/52623,lab,labresult,lab.labname = 'sodium',mEq/L (=mmol/L),mEq/L (=mmol/L),none (verify labmeasurenamesystem),labresultoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,30.6 (MIMIC 37.6),Some sites also report these on a blood-gas panel with a different labname.,"Chemistry labname only, matching MIMIC's chemistry itemids. Blood-gas electrolytes excluded (Paper 1 excluded blood gas entirely).",List all labnames containing the analyte string; confirm nothing else should be unioned in.
A,Renal/metabolic,potassium,"Serum potassium, chemistry panel",labevents 50971/52610,lab,labresult,lab.labname = 'potassium',mEq/L (=mmol/L),mEq/L (=mmol/L),none (verify labmeasurenamesystem),labresultoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,30.1 (MIMIC 35.0),Some sites also report these on a blood-gas panel with a different labname.,"Chemistry labname only, matching MIMIC's chemistry itemids. Blood-gas electrolytes excluded (Paper 1 excluded blood gas entirely).",List all labnames containing the analyte string; confirm nothing else should be unioned in.
A,Renal/metabolic,glucose,"Serum glucose, chemistry panel (NOT point-of-care)",labevents 50931/52569,lab,labresult,lab.labname = 'glucose'  -- explicitly EXCLUDING labname='bedside glucose',mg/dL,mg/dL,none,labresultoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,27.3 (MIMIC 32.4); bedside glucose would add 45.9,"eICU separates 'glucose' (lab) from 'bedside glucose' (point-of-care fingerstick). Bedside glucose is far more frequent; including it would make eICU glucose measured several times more often per window than MIMIC glucose, changing both the value distribution and the missingness pattern.","PRIMARY: lab glucose only, to match MIMIC. PRE-SPECIFIED SENSITIVITY: union with bedside glucose, reported separately. This is the clearest measurable-construct mismatch in tier A and must not be decided after seeing results.",Quantify the window-level missingness of lab-only glucose in eICU; if it exceeds ~70% the Paper 1 exclusion rule would itself have dropped the variable.
B,Neurological,gcs_eye,"GCS eyes subscore, nurse-charted",chartevents 220739,nurseCharting (primary); physicalExam (fallback); apacheApsVar (cross-check only),nursingchartvalue,nursingchartcelltypevallabel='Glasgow coma score' AND nursingchartcelltypevalname='Eyes',1-4 (eye) / 1-6 (motor),same,cast nursingchartvalue (text) to numeric; non-numeric strings -> missing,nursingchartoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,53.5 (MIMIC 94.9),"nursingchartvalue is free text and includes non-numeric entries such as 'Unable to score due to medication'. That string is the eICU analogue of MIMIC's 'No Response-ETT' problem: it marks a sedated/intubated patient, not a low score. GCS charting completeness also varies sharply by hospital interface.","Cast to numeric; treat every non-numeric value as MISSING, never floor-code to 1. This mirrors the Paper 1 decision for gcs_verbal and is the same clinical reasoning. apacheApsVar.eyes/motor is a worst-value-in-first-24h APACHE field and cannot be used for 6-h windows -- use it only to cross-check that a stay's window-level GCS is plausible. MEASURED 23 Aug 2026: nurseCharting reaches only 53.5% of windows against MIMIC's 94.9% -- a 41-point gap, the largest of any variable and the only PROBLEM verdict outside the support flags. 33.4% of cohort patients have no GCS in any window and 36 hospitals chart none at all. This is NOT mitigated by the treatment-free control, because GCS is in both models. physicalExam looked like a better source at 99.7% of stays but carries ~1 row per patient (the score is encoded in the path, '.../GCS/Motor Score/6'), giving only 14.2% of windows -- presence is not density. Consequence to pre-specify: median-imputing a missing GCS assigns eye=4/motor=6, i.e. 'normal', which pushes unmeasured windows toward the neurologically-preserved state and biases the primary result in a known direction. Required: GCS window coverage becomes the driving hospital eligibility criterion, and a GCS-complete-case sensitivity analysis is added.","Enumerate the full value distribution of nursingchartvalue for this label and count how many hospitals chart it at all. GCS is what carries the neurological dimension of all four states; if a hospital does not chart it, that hospital cannot enter the analysis."
B,Neurological,gcs_motor,"GCS motor subscore, nurse-charted",chartevents 223901,nurseCharting (primary); physicalExam (fallback); apacheApsVar (cross-check only),nursingchartvalue,nursingchartcelltypevallabel='Glasgow coma score' AND nursingchartcelltypevalname='Motor',1-4 (eye) / 1-6 (motor),same,cast nursingchartvalue (text) to numeric; non-numeric strings -> missing,nursingchartoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,53.5 (MIMIC 94.7),"nursingchartvalue is free text and includes non-numeric entries such as 'Unable to score due to medication'. That string is the eICU analogue of MIMIC's 'No Response-ETT' problem: it marks a sedated/intubated patient, not a low score. GCS charting completeness also varies sharply by hospital interface.","Cast to numeric; treat every non-numeric value as MISSING, never floor-code to 1. This mirrors the Paper 1 decision for gcs_verbal and is the same clinical reasoning. apacheApsVar.eyes/motor is a worst-value-in-first-24h APACHE field and cannot be used for 6-h windows -- use it only to cross-check that a stay's window-level GCS is plausible. MEASURED 23 Aug 2026: nurseCharting reaches only 53.5% of windows against MIMIC's 94.9% -- a 41-point gap, the largest of any variable and the only PROBLEM verdict outside the support flags. 33.4% of cohort patients have no GCS in any window and 36 hospitals chart none at all. This is NOT mitigated by the treatment-free control, because GCS is in both models. physicalExam looked like a better source at 99.7% of stays but carries ~1 row per patient (the score is encoded in the path, '.../GCS/Motor Score/6'), giving only 14.2% of windows -- presence is not density. Consequence to pre-specify: median-imputing a missing GCS assigns eye=4/motor=6, i.e. 'normal', which pushes unmeasured windows toward the neurologically-preserved state and biases the primary result in a known direction. Required: GCS window coverage becomes the driving hospital eligibility criterion, and a GCS-complete-case sensitivity analysis is added.","Enumerate the full value distribution of nursingchartvalue for this label and count how many hospitals chart it at all. GCS is what carries the neurological dimension of all four states; if a hospital does not chart it, that hospital cannot enter the analysis."
B,Renal/metabolic,urine_output_ml,"Urine volume summed over the window; urinary sources only (Foley, void, condom, suprapubic, nephrostomy, straight cath); GI outputs excluded",outputevents 226559/226560/226561/226563/226564/226565/226567,intakeOutput,cellvaluenumeric,"cellpath LIKE '%|Output (ml)|%' AND celllabel matched against a urine-source list (Urine, Foley, URINE CATH, Voided, etc.)",mL,mL,none,intakeoutputoffset,SUM over the window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD  [note: Paper 1 flagged forward-filling a volume total as a weak assumption],55.6 (MIMIC 80.1),"celllabel is free text and site-specific, so the urine-source list is not a fixed vocabulary the way MIMIC itemids are. Many sites chart I/O in shift totals (8-12 h) rather than hourly, which a 6-h window cannot decompose. Some sites do not connect the I/O interface at all, so zero urine is indistinguishable from unmeasured urine.","Build the urine celllabel list empirically from the demo set plus a frequency scan of the full intakeOutput, then have it reviewed clinically before extraction. Charting cadence must be measured per hospital: a hospital whose median inter-record interval exceeds 6 h fails the completeness filter for this variable. NEVER treat absent I/O rows as zero output.","Per-hospital distribution of I/O charting interval, and the number of distinct urine-like celllabel strings. This is the highest-risk tier-B variable."
C,Support,mech_vent,Invasive mechanical ventilation active at any point in the window,"procedureevents 225792, true start/end interval",respiratoryCare + respiratoryCharting + treatment (composite); apacheApsVar (cross-check),ventstartoffset/ventendoffset; respchartvaluelabel; treatmentstring,"(a) respiratoryCare.ventstartoffset..ventendoffset interval; (b) any respiratoryCharting row with respcharttypecat='respFlowPtVent' or a ventilator-setting label (PEEP, Tidal Volume Observed, Vent Rate, FiO2 on vent); (c) treatment.treatmentstring LIKE 'pulmonary|ventilation and oxygenation|mechanical ventilation%'",binary,binary,reconstruct an interval from point events,respcarestatusoffset / respchartoffset / treatmentoffset,"any overlap with the window => 1, else 0 (no imputation)",no imputation; frozen Bernoulli emission,vent-setting evidence in 37.0 of windows; definite-INVASIVE evidence in only 23.5 of stays,"THE CENTRAL PROBLEM OF PAPER 2. MIMIC gives a true start/end interval; eICU gives point events plus a respiratoryCare vent offset that is widely documented as unreliable (nulls, and priorventstartoffset/priorventendoffset confusion). treatment rows are entries, not intervals. So a MIMIC interval flag has to be rebuilt from eICU point observations, and the rebuilt flag is a different estimator with a different error profile.","Composite with a pre-specified hierarchy: respiratoryCare interval where ventstartoffset is present and internally consistent; otherwise mark every window containing a vent-setting charting row as ventilated, and bridge gaps of <=1 window (6 h) between two such rows. Treatment rows are used as supporting evidence only. Freeze the algorithm and its parameters BEFORE looking at any state output. Report agreement of the composite against apacheApsVar.vent/intubated (first 24 h only) as the validation of the reconstruction. mech_vent is the single strongest discriminator of the respiratory-support state (P=0.77 vs 0.03), so an inflated or deflated flag will move state prevalence directly. MEASURED: respiratoryCare.ventstartoffset reaches 20.5% of stays and 166/176 hospitals fall below 50% on that interface, so the composite cannot rest on it. respiratoryCharting is far denser (vent settings in 37.0% of windows) but CANNOT distinguish invasive ventilation from NIV, and Paper 1 counts invasive only. The treatment table does separate them cleanly -- 'pulmonary|ventilation and oxygenation|mechanical ventilation%' (1,883 stays) versus 'non-invasive ventilation' and 'CPAP/PEEP therapy' (623 stays, to be EXCLUDED) -- and respiratoryCare.airwaytype ETT/tracheostomy adds 482, but airwaytype is populated on only 10.7% of rows. Definite-invasive evidence therefore reaches just 23.5% of stays. Pre-specified hierarchy: definite-invasive sources first; respiratoryCharting vent settings count only where the stay carries no NIV/CPAP treatment record; stays with no ventilation interface at all are flagged, never coerced to 0.","Measure, per hospital, how many of the three sources are populated at all. A hospital with none of them cannot contribute."
C,Support,crrt,Continuous renal replacement therapy (CVVH/CVVHD/CVVHDF/SCUF) active in the window; intermittent haemodialysis EXCLUDED,"procedureevents 225802/225803/225809/225955, start/end interval",treatment (primary); intakeOutput (supporting),treatmentstring; dialysistotal / cellpath,"treatmentstring LIKE 'renal|dialysis|%' with continuous modalities selected by string (C V V H D, CRRT, continuous); intakeOutput rows on a dialysis cellpath as supporting evidence",binary,binary,reconstruct an interval from point events,treatmentoffset / intakeoutputoffset,"any overlap with the window => 1, else 0 (no imputation)",no imputation; frozen Bernoulli emission,2.3 of stays (MIMIC 0.2 of windows),"Two compounding problems. (1) apacheApsVar.dialysis does not distinguish continuous from intermittent, so it CANNOT be used for the MIMIC-matched definition. (2) In the frozen MIMIC model, CRRT probability is 0.011 in the renal-dysfunction state and effectively zero (0 to 7e-11) in the other three -- see frozen_params/emission_binary_frozen.csv. Any eICU window with crrt=1 is therefore assigned near-zero likelihood under three of four states and can dominate or destabilise the whole sequence decode.","Extract with the continuous-only string list. Apply the pre-specified epsilon floor (1e-4) to all binary emissions at transport time, verified on the MIMIC test set to leave decoding unchanged. Pre-specify a sensitivity in which crrt is dropped from the feature set entirely in BOTH databases -- given its near-zero MIMIC probabilities it carries almost no information, and dropping it removes a real numerical hazard for negligible loss.","Count continuous-modality treatment strings per hospital. If eICU CRRT prevalence is an order of magnitude away from MIMIC's, the variable is measuring interface coverage, not treatment."
C,Support (vasoactive),vasopressor,"Continuous infusion of a vasopressor or inotrope active in the window: epinephrine, norepinephrine, phenylephrine, dopamine, dobutamine, vasopressin, milrinone","inputevents 221289/221653/221662/221749/221906/221986/222315 (+ newer duplicate formulations), start/end interval",infusionDrug (primary); medication (supporting),"drugname, drugrate, infusionrate","normalised match of infusionDrug.drugname against a curated agent list covering brand names and unit-suffixed variants (e.g. Levophed, Neo-Synephrine, 'Norepinephrine (mcg/min)')",binary,binary,reconstruct an interval from timestamped rate rows,infusionoffset,"any overlap with the window => 1, else 0 (no imputation)",no imputation; frozen Bernoulli emission,5.4 of windows (MIMIC 9.3) - under-captured ~42%,"drugname is free text with no controlled vocabulary and varies by hospital pharmacy system. infusionDrug rows are rate observations at points in time, not intervals, and a rate of 0 means the infusion is charted but off.","Build the agent dictionary by frequency-scanning all distinct drugname values (normalise case, strip unit suffixes and parentheses), then have it clinically reviewed and FROZEN before extraction. Count a window as exposed only if a matching row has drugrate>0 (or a null rate with a non-zero volume), bridging gaps of <=1 window. Mirror MIMIC's inclusion of dobutamine and milrinone -- Paper 1's flag is 'vasoactive support', not 'vasopressor' in the strict sense, and the eICU list must not be narrowed. MEASURED: infusionDrug covers only 42.1% of stays and 122/176 hospitals are below 50% on it, so the `medication` table is added as a pre-specified second source (routeadmin IV), lifting stay-level reach for sedatives from 14.0% to 37.6% and for vasopressors from 10.2% to 13.3%. NAMING (23 Aug 2026): the column name `vasopressor` is retained for frozen-feature-order alignment with MIMIC, but the variable IS vasoactive support and includes dobutamine and milrinone. All reported labels, tables and figures must say vasoactive support.","Number of distinct drugname strings mapping to each agent, and the share of rows with null or zero drugrate."
C,Support,sedative,"Continuous infusion of propofol, midazolam, dexmedetomidine or lorazepam active in the window. Bolus dosing and RASS are not used.","inputevents 221385/221668/222168/225150/229420, start/end interval",infusionDrug (primary); medication (supporting),"drugname, drugrate","normalised match against propofol, midazolam (Versed), dexmedetomidine (Precedex), lorazepam (Ativan)",binary,binary,reconstruct an interval from timestamped rate rows,infusionoffset,"any overlap with the window => 1, else 0 (no imputation)",no imputation; frozen Bernoulli emission,8.2 of windows from infusionDrug (MIMIC 19.7) - under-captured ~58%; medication adds 32.7 at stay level,"Same free-text problem as vasopressor. Additionally, sedation is the second strongest discriminator of the respiratory-support state (P=0.57 vs 0.07) and it interacts with GCS: a sedated patient has a suppressed GCS, so a hospital that under-captures sedation will show low GCS with no explanation and its windows will be pushed toward the wrong state.","Same curated-dictionary, rate>0, bridge<=1-window rule as vasopressor. Continuous infusion only -- do NOT add bolus benzodiazepines from the medication table, which would broaden the construct relative to MIMIC. Paper 1 script 28 already ran a sustained-sedation sensitivity; run the matching version in eICU. MEASURED: infusionDrug covers only 42.1% of stays and 122/176 hospitals are below 50% on it, so the `medication` table is added as a pre-specified second source (routeadmin IV), lifting stay-level reach for sedatives from 14.0% to 37.6% and for vasopressors from 10.2% to 13.3%.","Joint distribution of sedative flag and GCS per hospital -- a hospital with low GCS and no sedation charting is an interface artefact, not a sicker population."
