term,source_field,class,adjudication_note,freeze_date
pulmonary|ventilation and oxygenation|mechanical ventilation|pressure controlled,treatment.treatmentstring,INVASIVE vent,Treatment hierarchy explicitly documents mechanical ventilation without an NIV qualifier.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|synchronized intermittent,treatment.treatmentstring,INVASIVE vent,Treatment hierarchy explicitly documents mechanical ventilation without an NIV qualifier.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation,treatment.treatmentstring,NON-invasive (exclude),Explicit non-invasive ventilation; excluded by Paper 1 definition.,2026-08-23
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|10-15 cm H2O,treatment.treatmentstring,NON-invasive (exclude),CPAP/NIV-type support; excluded by Paper 1 invasive-ventilation definition.,2026-08-23
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|reduce PEEP as tolerated,treatment.treatmentstring,NON-invasive (exclude),CPAP/NIV-type support; excluded by Paper 1 invasive-ventilation definition.,2026-08-23
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|titrate PEEP,treatment.treatmentstring,NON-invasive (exclude),CPAP/NIV-type support; excluded by Paper 1 invasive-ventilation definition.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation|face mask,treatment.treatmentstring,NON-invasive (exclude),Explicit non-invasive ventilation; excluded by Paper 1 definition.,2026-08-23
renal|dialysis|C V V H,treatment.treatmentstring,CRRT,Continuous renal replacement modality.,2026-08-23
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|> 15 cm H2O,treatment.treatmentstring,NON-invasive (exclude),CPAP/NIV-type support; excluded by Paper 1 invasive-ventilation definition.,2026-08-23
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|reduce CPAP as tolerated,treatment.treatmentstring,NON-invasive (exclude),CPAP/NIV-type support; excluded by Paper 1 invasive-ventilation definition.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|tidal volume < 6 ml/kg,treatment.treatmentstring,INVASIVE vent,Treatment hierarchy explicitly documents mechanical ventilation without an NIV qualifier.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|permissive hypercapnea,treatment.treatmentstring,INVASIVE vent,Treatment hierarchy explicitly documents mechanical ventilation without an NIV qualifier.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation|nasal mask,treatment.treatmentstring,NON-invasive (exclude),Explicit non-invasive ventilation; excluded by Paper 1 definition.,2026-08-23
pulmonary|ventilation and oxygenation|mechanical ventilation|volume assured,treatment.treatmentstring,INVASIVE vent,Treatment hierarchy explicitly documents mechanical ventilation without an NIV qualifier.,2026-08-23
pulmonary|ventilation and oxygenation|non-invasive ventilation|nasal mask,treatment.treatmentstring,NON-invasive (exclude),Explicit non-invasive ventilation; excluded by Paper 1 definition.,2026-08-23
