variable,term,class,adjudication_note,freeze_date
urine_output_ml,Output (mL)-Urethral Catheter C. Wofford Temperature probe,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,"Output (mL)-Urethral Catheter Chip Harris, RN  Latex;Straight-tip 16 Fr.",include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Coude 18 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,"Output (mL)-Urethral Catheter Darrell, EMT  Latex;Temperature probe",include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Double-lumen,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Double-lumen 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,"Output (mL)-Urethral Catheter John NT+3, Carrie RN Temperature probe",include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,"Output (mL)-Urethral Catheter Josh McDaniel, RN Straight-tip 16 Fr.",include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex;Straight-tip 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex;Temperature probe,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex;Temperature probe;Straight-tip;Triple-lumen,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Non-latex;Straight-tip 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Non-latex;Temperature probe 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Temperature probe 18 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter emt-liza Temperature probe 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter k hyatt RN Non-latex 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urinary Catheter Indwelling,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output Amt-Urinary Catheter ,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Coude Urethral,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Coude Urethral 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Coude Urethral 18 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Indwelling/Continuous Ext,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Indwelling/Continuous Sup,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Urethral 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output (mL)-Urethral Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output-Nephrostomy,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output-Urine Output,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Straight Cath,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
