variable,term,class,adjudication_note,freeze_date
vasoactive_support / sedative,Propofol (mg/kg/min),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE BITARTRATE 1 MG/ML IV : 4 ML,vasoactive,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,PRECEDEX,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,dexmedetomidine,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine,sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine (mcg/kg/hr) (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,250 ML PLAS CONT : NOREPINEPHRINE IN D5W 8 MG/250 ML,vasoactive,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine(Precedex) 400 mcg Sodium Chloride 0.9% 100 ml (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dopamine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dobutamine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Milrinone (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Milrinone (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Lorazepam (ml/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine  STD 20 mg Sodium Chloride 0.9% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,norepinephrine Volume (ml) (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin (units/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Midazolam (Versed) 100 mg Sodium Chloride 0.9% 100 ml (mg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Volume (ml) Phenylephrine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,DOPamine STD 400 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Lorazepam (mg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine MAX 32 mg Dextrose 5% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,DOBUTamine STD 500 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dopamine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Lorazepam (),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,DOBUTamine MAX 1000 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dobutamine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine (mg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,LORazepam (Ativan) 100 mg Sodium Chloride 0.9% 100 ml  Premix (mg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Midazolam (mg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Milrinone,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Milrinone (Primacor) 40 mg Dextrose 5% 200 ml (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine  MAX 100 mg Sodium Chloride 0.9% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol (Unknown),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol (mcg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,EPINEPHrine(Adrenalin)MAX 30 mg Sodium Chloride 0.9% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Levophed (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Midazolam (),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Midazolam (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Milrinone (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine (mcg/kg/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine STD 8 mg Dextrose 5% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,PRECEDEX (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine (mcg/kg/min) (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine (mcg/min) (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Precedex (mcg/kg/min),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol (mg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin 20 Units Sodium Chloride 0.9% 250 ml (units/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/kg/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Versed,sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Versed (ml/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,propofol (mcg/kg/min),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
